date,open,high,low,close,volume
2021-11-21T14:41.00Z,4366.4,4371.16,4372.27,4366.4,25.85673397
2021-11-21T14:40.00Z,4366.69,4366.4,4367.58,4366.38,17.80751881
2021-11-21T14:39.00Z,4370.17,4366.68,4371.58,4366.68,28.35378853
2021-11-21T14:38.00Z,4367.83,4370.17,4371.2,4367.83,31.36663125
2021-11-21T14:37.00Z,4366.59,4367.84,4368.51,4366.19,14.20538501
2021-11-21T14:36.00Z,4360.39,4366.59,4368.08,4360.05,54.1011459
2021-11-21T14:35.00Z,4358.04,4360.4,4361.1,4358.04,15.47144742
2021-11-21T14:34.00Z,4357.83,4358.04,4358.13,4357.83,11.91764139
2021-11-21T14:33.00Z,4356.02,4357.82,4357.83,4354.87,19.84963057
2021-11-21T14:32.00Z,4357.73,4356.02,4357.74,4356.01,20.15970454
2021-11-21T14:31.00Z,4357.65,4356.69,4359.12,4355.73,37.48008109
2021-11-21T14:30.00Z,4359.33,4358.81,4360.95,4358.8,20.06316489
2021-11-21T14:29.00Z,4358.55,4359.34,4359.34,4358.14,10.42593742
2021-11-21T14:28.00Z,4359.98,4358.74,4360,4358.13,32.93125437
2021-11-21T14:27.00Z,4360.04,4359.97,4360.75,4359.93,38.44125459
2021-11-21T14:26.00Z,4356.88,4360.04,4360.16,4355.71,36.33812004
2021-11-21T14:25.00Z,4358.55,4356.88,4358.56,4354.53,16.41927652
2021-11-21T14:24.00Z,4356.43,4358.55,4358.56,4355.56,15.5035946
2021-11-21T14:23.00Z,4357.69,4356.44,4357.69,4353.99,24.38760453
2021-11-21T14:22.00Z,4361.96,4357.69,4361.96,4356,180.58821888
2021-11-21T14:21.00Z,4360.56,4361.96,4362.83,4360.55,19.19075406
2021-11-21T14:20.00Z,4356.5,4360.55,4360.55,4356.12,29.12417209
2021-11-21T14:19.00Z,4354.86,4356.51,4357.89,4354.5,23.40116393
2021-11-21T14:18.00Z,4356.23,4354.85,4356.42,4354.48,13.58822861
2021-11-21T14:17.00Z,4356.56,4356.23,4357.08,4355.51,18.29144709
2021-11-21T14:16.00Z,4356.46,4356.57,4357.47,4355.5,19.2523339
2021-11-21T14:15.00Z,4353.73,4356.46,4357.71,4353.73,11.67909346
2021-11-21T14:14.00Z,4353.64,4353.72,4353.86,4353,12.2989913
2021-11-21T14:13.00Z,4354.05,4353.63,4354.78,4351.65,23.20671369
2021-11-21T14:12.00Z,4351.49,4354.05,4356.6,4351.34,48.91375461
2021-11-21T14:11.00Z,4351.24,4351.49,4352.75,4350.69,34.80715042
2021-11-21T14:10.00Z,4353.55,4351.23,4353.95,4350.95,24.49613293
2021-11-21T14:09.00Z,4350.9,4353.12,4353.94,4346.39,25.47373937
2021-11-21T14:08.00Z,4355.77,4350.9,4356.32,4350.9,21.32720122
2021-11-21T14:07.00Z,4354.93,4355.77,4356.8,4354.92,15.06498753
2021-11-21T14:06.00Z,4354.09,4354.92,4356.94,4354.08,32.81775867
2021-11-21T14:05.00Z,4353.61,4354.09,4354.09,4351.16,22.72307859
2021-11-21T14:04.00Z,4354.1,4353.61,4354.99,4353.6,19.64381843
2021-11-21T14:03.00Z,4354.01,4354.11,4355,4353.61,18.23340246
2021-11-21T14:02.00Z,4350.41,4354.01,4354.27,4350.41,17.27076874
2021-11-21T14:01.00Z,4349.61,4350.41,4351.88,4349.15,21.53289769
2021-11-21T14:00.00Z,4344.99,4350.17,4352,4344.98,35.96280007
2021-11-21T13:59.00Z,4354.88,4344.99,4354.88,4344.33,37.37975674
2021-11-21T13:58.00Z,4352.35,4354.88,4354.88,4350.92,51.38583791
2021-11-21T13:57.00Z,4353.11,4352.36,4354.18,4350.73,46.27240673
2021-11-21T13:56.00Z,4353.98,4353.11,4354.2,4351.82,41.4936075
2021-11-21T13:55.00Z,4351.94,4353.64,4354.68,4351.61,58.97404126
2021-11-21T13:54.00Z,4352.14,4351.93,4352.15,4351.1,18.43920824
2021-11-21T13:53.00Z,4354.22,4352.14,4354.66,4350.75,42.43438515
2021-11-21T13:52.00Z,4351.42,4353.86,4353.86,4349.94,28.77250637
