date,open,high,low,close,volume
1636744200,88200,88200,88200,88200,0
1636744140,88200,88200,88200,88200,0
1636744080,88200,88200,88200,88200,0
1636744020,88200,88200,88200,88200,0
1636743960,88200,88200,88200,88200,0
1636743900,88200,88200,88200,88200,0
1636743840,88200,88200,88200,88200,0
1636743780,88200,88200,88200,88200,0
1636743720,88200,88200,88200,88200,0
1636743660,88200,88200,88200,88200,0
1636743600,88200,88200,88200,88200,0
1636743540,88200,88200,88200,88200,0
1636743480,88200,88200,88200,88200,0
1636743420,88200,88200,88200,88200,0
1636743360,88200,88200,88200,88200,0
1636743300,88200,88200,88200,88200,0
1636743240,88200,88200,88200,88200,0
1636743180,88200,88200,88200,88200,0
1636743120,88200,88200,88200,88200,0
1636743060,88200,88200,88200,88200,0
1636743000,88200,88200,88200,88200,0
1636742940,88200,88200,88200,88200,0
1636742880,88200,88200,88200,88200,0
1636742820,88200,88200,88200,88200,0
1636742760,88200,88200,88200,88200,0
1636742700,88200,88200,88200,88200,0
1636742640,88200,88200,88200,88200,0
1636742580,88200,88200,88200,88200,0
1636742520,88200,88200,88200,88200,0
1636742460,88200,88200,88200,88200,0
1636742400,88200,88200,88200,88200,0
1636742340,88200,88200,88200,88200,0
1636742280,88200,88200,88200,88200,0
1636742220,88200,88200,88200,88200,0
1636742160,88200,88200,88200,88200,0
1636742100,88200,88200,88200,88200,0
1636742040,88200,88200,88200,88200,0
1636741980,88200,88200,88200,88200,0
1636741920,88200,88200,88200,88200,0
1636741860,88200,88200,88200,88200,0
1636741800,88200,88200,88200,88200,0
1636741740,88200,88200,88200,88200,0
1636741680,88200,88200,88200,88200,0
1636741620,88200,88200,88200,88200,0
1636741560,88200,88200,88200,88200,0
1636741500,88200,88200,88200,88200,0
1636741440,88200,88200,88200,88200,0
1636741380,88200,88200,88200,88200,0
1636741320,88200,88200,88200,88200,0
1636741260,88200,88200,88200,88200,0
1636741200,88200,88200,88200,88200,0
1636741140,88200,88200,88200,88200,0
1636741080,88200,88200,88200,88200,0
1636741020,88200,88200,88200,88200,0
1636740960,88200,88200,88200,88200,0
1636740900,88200,88200,88200,88200,0
1636740840,88200,88200,88200,88200,0
1636740780,88200,88200,88200,88200,0
1636740720,88200,88200,88200,88200,0
1636740660,88200,88200,88200,88200,0
1636740600,88200,88200,88200,88200,0
